0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
207,203,199,190,223,188,263,117,253,198,171,228
203,149,172,185,190,167,153,263,205,170,298,146
261,273,244,195,249,188,215,208,214,235,280,256
101,244,103,151,203,199,169,231,188,206,196,280
190,173,234,276,169,183,205,200,201,218,172,233
274,211,216,235,231,228,260,174,236,200,242,120
226,272,223,214,173,304,149,168,225,161,207,298
224,173,244,202,192,188,210,216,174,232,200,274
196,226,196,149,251,254,203,139,213,207,192,160
247,184,201,280,254,240,232,258,194,215,159,218
237,212,182,134,182,,210,218,208,215,226,245
167,220,181,310,238,,213,247,227,203,172,184
281,184,170,170,218,,155,195,172,232,188,249
167,263,248,186,218,,246,207,268,185,211,192
165,102,147,201,210,,230,207,195,175,180,242
208,214,202,85,223,,170,238,225,248,174,187
110,228,250,206,147,,203,180,211,248,224,200
274,177,235,155,262,,231,197,204,249,210,163
233,173,196,195,200,,196,239,204,221,200,227
261,248,221,236,200,,181,179,199,160,225,169
,,,,,,,,,,,
7,3,1,10,23,,63,83,53,2,29,28
3,51,28,15,10,,47,63,5,30,98,54
61,73,44,5,49,,15,8,14,35,80,56
99,44,97,49,3,,31,31,12,6,4,80
10,27,34,76,31,,5,0,1,18,28,33
74,11,16,35,31,,60,26,36,0,42,80
26,72,23,14,27,,51,32,25,39,7,98
24,27,44,2,8,,10,16,26,32,0,74
4,26,4,51,51,,3,61,13,7,8,40
47,16,1,80,54,,32,58,6,15,41,18
37,12,18,66,18,,10,18,8,15,26,45
33,20,19,110,38,,13,47,27,3,28,16
81,16,30,30,18,,45,5,28,32,12,49
33,63,48,14,18,,46,7,68,15,11,8
35,98,53,1,10,,30,7,5,25,20,42
8,14,2,115,23,,30,38,25,48,26,13
90,28,50,6,53,,3,20,11,48,24,0
74,23,35,45,62,,31,3,4,49,10,37
33,27,4,5,0,,4,39,4,21,0,27
61,48,21,36,0,,19,21,1,40,25,31
840,699,572,765,527,,548,583,372,480,519,829
