0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
200,184,186,191,283,191,131,215,240,219,210,219
171,182,227,199,190,243,171,163,191,215,197,146
237,192,186,190,195,171,214,171,183,165,211,181
162,187,224,227,181,183,186,210,195,201,203,161
201,265,219,217,179,185,255,184,218,187,175,183
173,263,257,172,194,239,174,226,241,211,179,203
195,186,155,179,212,112,197,207,184,220,226,150
181,212,217,177,188,206,213,201,178,205,197,173
222,152,211,199,195,214,162,182,200,196,200,220
173,184,215,159,215,190,163,185,163,222,194,171
221,267,184,217,182,,226,186,185,225,215,205
194,193,207,228,220,,214,234,146,162,175,175
189,125,162,221,206,,184,227,198,206,215,172
220,218,143,210,195,,207,169,186,232,215,195
240,191,252,207,187,,228,187,192,221,215,196
199,252,216,220,185,,179,203,214,170,167,202
223,200,176,187,197,,184,186,224,180,180,178
153,160,246,219,157,,243,195,187,226,190,217
229,173,212,236,270,,188,122,200,207,195,211
210,162,190,198,244,,205,199,185,182,178,205
,,,,,,,,,,,
0,,,,,,,,,,10,19
29,,,,,,,,,,3,54
37,,,,,,,,,,11,19
38,,,,,,,,,,3,39
1,,,,,,,,,,25,17
27,,,,,,,,,,21,3
5,,,,,,,,,,26,50
19,,,,,,,,,,3,27
22,,,,,,,,,,0,20
27,,,,,,,,,,6,29
21,,,,,,,,,,15,5
6,,,,,,,,,,25,25
11,,,,,,,,,,15,28
20,,,,,,,,,,15,5
40,,,,,,,,,,15,4
1,,,,,,,,,,33,2
23,,,,,,,,,,20,22
47,,,,,,,,,,10,17
29,,,,,,,,,,5,11
10,,,,,,,,,,22,5
413,,,,,,,,,,283,401
