0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
273,195,144,169,181,148,180,240,214,221,133,139
160,260,158,210,194,172,220,140,149,150,263,182
175,196,145,145,170,173,203,182,165,228,164,175
270,170,220,115,194,235,198,152,182,172,207,211
140,215,211,221,146,243,200,249,194,155,265,215
220,243,209,158,145,243,201,224,157,150,191,163
230,194,227,280,209,103,190,164,213,200,160,144
145,186,177,195,210,220,230,251,232,134,192,212
285,272,193,203,231,147,203,137,167,242,242,188
189,172,143,174,230,174,203,192,240,240,182,245
130,160,300,185,166,,185,226,130,143,219,224
218,298,130,249,208,,214,140,200,253,146,179
188,210,231,190,141,,188,275,146,170,187,153
280,167,185,169,250,,207,191,218,217,165,201
118,218,155,210,212,,173,144,177,140,255,162
188,152,178,184,133,,278,190,222,165,153,169
242,220,164,166,170,,117,293,170,226,154,172
260,171,235,240,191,,182,270,300,195,200,188
225,230,300,155,182,,132,108,155,208,186,253
232,198,180,165,185,,195,162,167,210,247,202
,,,,,,,,,,,
73,5,56,31,19,,20,40,14,21,67,61
40,60,42,10,6,,20,60,51,50,63,18
25,4,55,55,30,,3,18,35,28,36,25
70,30,20,85,6,,2,48,18,28,7,11
60,15,11,21,54,,0,49,6,45,65,15
20,43,9,42,55,,1,24,43,50,9,37
30,6,27,80,9,,10,36,13,0,40,56
55,14,23,5,10,,30,51,32,66,8,12
85,72,7,3,31,,3,63,33,42,42,12
11,28,57,26,30,,3,8,40,40,18,45
70,40,100,15,34,,15,26,70,57,19,24
18,98,70,49,8,,14,60,0,53,54,21
12,10,31,10,59,,12,75,54,30,13,47
80,33,15,31,50,,7,9,18,17,35,1
82,18,45,10,12,,27,56,23,60,55,38
12,48,22,16,67,,78,10,22,35,47,31
42,20,36,34,30,,83,93,30,26,46,28
60,29,35,40,9,,18,70,100,5,0,12
25,30,100,45,18,,68,92,45,8,14,53
32,2,20,35,15,,5,38,33,10,47,2
902,605,781,643,552,,419,926,680,671,685,549
