0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
205,243,244,157,245,292,260,227,226,125,262,254
175,235,250,235,302,45,197,240,202,202,181,163
133,190,261,300,273,178,229,262,243,167,249,187
272,183,150,203,207,195,198,220,172,237,163,164
153,138,164,224,164,216,165,168,180,179,173,240
251,231,174,172,191,236,210,137,200,153,195,149
153,190,168,179,202,174,196,193,200,194,185,286
110,75,147,195,215,217,172,162,236,190,204,171
270,189,320,164,215,228,152,260,247,215,167,233
225,203,195,194,212,208,180,203,142,186,279,205
249,210,215,228,228,,203,237,200,208,165,201
183,131,235,203,222,,269,240,270,228,191,162
141,206,200,196,167,,300,236,243,201,154,242
170,231,224,137,160,,288,199,194,199,248,212
183,251,253,212,273,,283,178,159,212,230,185
148,268,186,249,131,,202,199,269,248,224,233
288,167,152,205,233,,239,97,220,280,243,235
196,180,226,153,217,,235,183,147,229,206,235
258,146,219,120,170,,160,224,216,170,275,187
248,200,205,215,163,,185,220,278,186,194,219
,,,,,,,,,,,
5,,,,,,,,,,62,54
25,,,,,,,,,,19,37
67,,,,,,,,,,49,13
72,,,,,,,,,,37,36
47,,,,,,,,,,27,40
51,,,,,,,,,,5,51
47,,,,,,,,,,15,86
90,,,,,,,,,,4,29
70,,,,,,,,,,33,33
25,,,,,,,,,,79,5
49,,,,,,,,,,35,1
17,,,,,,,,,,9,38
59,,,,,,,,,,46,42
30,,,,,,,,,,48,12
17,,,,,,,,,,30,15
52,,,,,,,,,,24,33
88,,,,,,,,,,43,35
4,,,,,,,,,,6,35
58,,,,,,,,,,75,13
48,,,,,,,,,,6,19
921,,,,,,,,,,652,627
