0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
207,190,186,225,187,185,210,201,191,188,211,215
145,176,207,153,213,312,195,244,177,201,188,197
225,178,168,172,192,209,225,195,222,185,170,127
183,242,180,186,232,234,176,183,130,220,192,207
160,207,194,158,161,173,191,252,182,216,180,213
231,183,240,242,158,152,162,177,192,161,182,207
176,250,124,260,210,221,217,195,152,218,206,221
214,202,165,172,215,177,182,251,213,170,170,164
175,216,227,168,143,182,140,245,162,164,171,172
185,135,183,242,223,183,184,160,253,187,171,205
196,197,222,162,170,,191,180,175,210,202,184
161,213,185,174,204,,232,195,213,210,230,238
182,218,164,207,190,,200,212,255,146,203,182
307,233,227,142,162,,223,167,153,175,176,234
183,163,173,197,182,,196,256,215,156,182,193
215,200,163,159,181,,215,147,155,170,262,177
228,195,214,225,161,,213,245,190,166,212,217
162,137,174,174,182,,120,197,280,231,156,214
231,229,163,175,210,,235,163,157,213,217,228
201,177,263,227,242,,150,233,212,165,195,203
,,,,,,,,,,,
7,,,,,,,,,,11,15
55,,,,,,,,,,12,3
25,,,,,,,,,,30,73
17,,,,,,,,,,8,7
40,,,,,,,,,,20,13
31,,,,,,,,,,18,7
24,,,,,,,,,,6,21
14,,,,,,,,,,30,36
25,,,,,,,,,,29,28
15,,,,,,,,,,29,5
4,,,,,,,,,,2,16
39,,,,,,,,,,30,38
18,,,,,,,,,,3,18
107,,,,,,,,,,24,34
17,,,,,,,,,,18,7
15,,,,,,,,,,62,23
28,,,,,,,,,,12,17
38,,,,,,,,,,44,14
31,,,,,,,,,,17,28
1,,,,,,,,,,5,3
551,,,,,,,,,,410,406
