0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
105,195,252,253,189,270,147,160,310,199,320,253
252,227,163,128,250,135,237,166,158,163,167,128
101,166,206,128,110,282,131,177,211,195,193,133
202,155,159,128,177,92,123,226,134,213,191,275
133,227,177,194,226,64,145,153,183,162,184,193
215,121,181,186,135,157,245,198,207,181,205,174
97,201,198,138,157,240,137,133,232,194,196,220
158,183,173,178,194,115,174,187,152,197,144,206
300,182,193,149,177,199,195,193,162,175,200,173
105,311,165,113,158,150,177,189,183,220,173,194
133,170,179,239,227,,174,183,180,160,243,185
295,243,197,139,175,,166,196,199,170,145,188
143,168,168,170,186,,158,175,169,232,157,252
115,159,214,210,190,,126,192,200,146,222,162
194,143,213,177,159,,123,170,239,191,180,180
177,252,206,144,199,,180,220,162,181,212,178
161,122,144,197,169,,218,202,203,190,183,185
149,161,217,200,185,,157,222,185,162,183,173
134,175,203,201,163,,218,184,214,236,211,143
114,171,162,150,261,,291,207,160,163,210,200
,,,,,,,,,,,
95,,,,,,,,,,120,53
52,,,,,,,,,,33,72
99,,,,,,,,,,7,67
2,,,,,,,,,,9,75
67,,,,,,,,,,16,7
15,,,,,,,,,,5,26
103,,,,,,,,,,4,20
42,,,,,,,,,,56,6
100,,,,,,,,,,0,27
95,,,,,,,,,,27,6
67,,,,,,,,,,43,15
95,,,,,,,,,,55,12
57,,,,,,,,,,43,52
85,,,,,,,,,,22,38
6,,,,,,,,,,20,20
23,,,,,,,,,,12,22
39,,,,,,,,,,17,15
51,,,,,,,,,,17,27
66,,,,,,,,,,11,57
86,,,,,,,,,,10,0
1245,,,,,,,,,,527,617
