0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
248,195,208,167,255,271,185,251,253,237,268,219
127,168,176,242,217,206,193,221,217,198,251,158
155,145,188,192,186,179,204,180,206,199,206,185
164,164,170,204,204,125,189,173,187,199,175,213
185,161,164,202,164,170,162,193,178,182,206,188
228,194,193,205,165,184,183,200,180,174,200,200
172,180,196,205,181,172,213,244,208,207,202,162
173,170,175,148,182,187,241,174,182,170,202,191
197,250,194,234,175,199,189,180,163,182,212,180
220,246,218,177,181,180,160,232,195,254,145,177
193,190,172,213,223,,174,179,178,160,186,210
240,182,180,177,183,,221,175,195,233,179,174
188,263,197,206,215,,152,193,187,234,196,243
150,164,164,179,173,,200,158,206,189,192,226
159,188,247,182,170,,173,237,189,203,223,186
258,182,250,202,183,,192,212,192,159,239,193
212,208,208,159,231,,203,174,254,202,180,187
181,147,198,175,241,,205,206,190,197,183,157
310,180,175,200,183,,193,193,208,208,218,175
190,183,151,184,168,,170,210,192,188,188,212
,,,,,,,,,,,
48,,,,,,,,,,68,19
73,,,,,,,,,,51,42
45,,,,,,,,,,6,15
36,,,,,,,,,,25,13
15,,,,,,,,,,6,12
28,,,,,,,,,,0,0
28,,,,,,,,,,2,38
27,,,,,,,,,,2,9
3,,,,,,,,,,12,20
20,,,,,,,,,,55,23
7,,,,,,,,,,14,10
40,,,,,,,,,,21,26
12,,,,,,,,,,4,43
50,,,,,,,,,,8,26
41,,,,,,,,,,23,14
58,,,,,,,,,,39,7
12,,,,,,,,,,20,13
19,,,,,,,,,,17,43
110,,,,,,,,,,18,25
10,,,,,,,,,,12,12
682,,,,,,,,,,403,410
