0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
172,235,233,280,297,310,240,190,210,295,226,277
182,223,231,264,187,151,279,214,196,220,233,187
202,208,185,230,195,210,261,215,227,164,252,210
157,210,184,206,228,191,193,145,240,233,160,195
170,176,242,208,176,222,172,203,182,201,183,185
204,218,185,173,173,192,167,209,224,162,150,243
224,183,233,178,221,170,228,191,193,280,192,178
201,188,180,149,200,210,168,220,197,199,173,223
220,185,150,198,162,171,199,128,202,173,199,241
193,220,168,190,180,130,240,208,198,137,200,211
170,185,202,196,224,,221,246,222,175,243,199
188,245,160,293,187,,233,217,201,195,214,169
110,218,245,224,247,,182,190,173,192,231,235
203,243,187,146,199,,163,221,195,236,212,172
188,168,225,247,202,,240,162,245,137,148,196
182,195,220,212,182,,185,182,242,235,224,237
196,207,144,196,175,,214,162,187,156,297,176
226,209,243,260,210,,220,214,170,223,260,257
175,236,194,201,170,,193,172,200,244,143,237
175,195,201,182,201,,190,205,235,146,252,158
,,,,,,,,,,,
28,,,,,,,,,,26,77
18,,,,,,,,,,33,13
2,,,,,,,,,,52,10
43,,,,,,,,,,40,5
30,,,,,,,,,,17,15
4,,,,,,,,,,50,43
24,,,,,,,,,,8,22
1,,,,,,,,,,27,23
20,,,,,,,,,,1,41
7,,,,,,,,,,0,11
30,,,,,,,,,,43,1
12,,,,,,,,,,14,31
90,,,,,,,,,,31,35
3,,,,,,,,,,12,28
12,,,,,,,,,,52,4
18,,,,,,,,,,24,37
4,,,,,,,,,,97,24
26,,,,,,,,,,60,57
25,,,,,,,,,,57,37
25,,,,,,,,,,52,42
422,,,,,,,,,,696,556
