0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
135,-2.0243,-1.6261,-1.7592,-2.2166,-2.4363,-2.189,-2.2222,-1.8559,-2.2241,175,90
165,-1.5809,-1.6681,-1.8484,-1.8254,-1.5659,-1.9216,-1.4394,-1.7562,-1.5037,189,166
178,-1.7997,-1.7964,-2.0782,-1.5665,-1.6043,-1.8371,-1.6067,-2.2415,-1.5646,204,124
204,-1.8629,-2.1032,-1.5619,-1.7827,-1.4412,-2.0743,-1.805,-1.8451,-1.4897,141,190
113,-2.0599,-2.6014,-0.9258,-1.1403,-1.8681,-1.9237,-1.7599,-1.641,-2.3004,208,200
260,-1.8109,-2.721,-1.7194,-1.2274,-1.838,-1.9942,-2.5796,-1.6194,-1.2609,186,218
95,-2.4114,-2.4595,-2.2161,-1.9844,-2.1514,-1.8633,-1.9854,-1.7317,-1.9252,239,143
213,-1.8283,-1.7689,-1.9293,-2.4411,-2.2119,-2.0049,-2.3342,-2.5315,-1.5698,248,155
173,-1.8266,-1.7412,-1.9656,-2.0865,-2.0138,-2.2585,-2.3501,-1.6059,-1.5898,152,157
162,-1.8508,-2.1957,-1.5993,-1.4897,-2.112,-1.7321,-2.0048,-2.1724,-1.7693,172,190
162,-1.6971,-2.0659,-2.0383,-1.2886,,-1.9021,-1.9625,-1.7031,-1.3635,193,170
173,-2.5182,-1.7239,-1.9784,-2.5857,,-1.9118,-2.1167,-1.4824,-2.0147,176,200
168,-1.9988,-2.4666,-2.1829,-2.0276,,-2.194,-1.8307,-1.832,-2.1574,161,203
158,-2.1971,-2.291,-2.008,-2.5409,,-1.8434,-1.9493,-2.1589,-1.3769,185,116
147,-2.091,-1.8905,-2.5248,-1.7519,,-2.0283,-2.2974,-1.6129,-1.7263,205,232
145,-1.9483,-2.1723,-2.1581,-1.9221,,-2.4973,-1.9724,-1.9072,-2.0958,194,203
236,-2.582,-2.1778,-2.0093,-2.1883,,-2.7515,-1.9551,-2.5645,-2.0428,240,256
98,-2.086,-1.4311,-1.7702,-1.9666,,-1.8996,-1.9127,-2.2044,-1.8854,175,222
221,-2.1944,-2.2347,-2.0833,-1.9823,,-1.7211,-2.0691,-1.2371,-1.8088,128,113
206,-1.8362,-2.1736,-2.1145,-1.8377,,-1.7498,-2.3138,-1.8636,-1.9448,230,165
,,,,14:55,,,,,20:05,,
65,,,,,,,,,,25,110
35,,,,,,,,,,11,34
22,,,,,,,,,,4,76
4,,,,,,,,,,59,10
87,,,,,,,,,,8,0
60,,,,,,,,,,14,18
105,,,,,,,,,,39,57
13,,,,,,,,,,48,45
27,,,,,,,,,,48,43
38,,,,,,,,,,28,10
38,,,,,,,,,,7,30
27,,,,,,,,,,24,0
32,,,,,,,,,,39,3
42,,,,,,,,,,15,84
53,,,,,,,,,,5,32
55,,,,,,,,,,6,3
36,,,,,,,,,,40,56
102,,,,,,,,,,25,22
21,,,,,,,,,,72,87
6,,,,,,,,,,30,35
868,,,,,,,,,,547,755
