0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
175,-1.4338,-2.4392,-2.282,-2.4201,-2.1106,-2.5886,-1.9047,-2.3007,-1.6939,165,198
180,-1.6313,-0.7322,-1.8272,-2.5303,-1.4852,-1.9921,-2.3816,-1.8132,-1.9723,191,190
132,-1.6552,-2.7045,-2.6272,-1.8957,-1.7717,-2.024,-2.5737,-1.5035,-1.5751,160,194
172,-2.0562,-2.0546,-1.8333,-1.9103,-1.8467,-1.8155,-1.979,-1.9827,-2.0474,208,176
240,-2.0173,-2.0307,-2.0478,-2.6388,-1.7086,-2.0049,-0.94,-1.7803,-2.3081,213,157
170,-1.9639,-2.3111,-1.6864,-2.2715,-2.6318,-2.157,-1.915,-2.155,-2.1389,204,225
176,-2.0609,-2.4896,-2.3748,-1.6739,-2.5613,-2.1929,-2.0573,-1.9463,-1.7589,193,197
226,-1.6785,-2.297,-3.0003,-1.7295,-2.5836,-2.038,-1.8927,-1.625,-1.9647,177,201
249,-2.044,-2.0219,-2.1354,-2.1034,-1.7667,-2.3695,-2.0257,-1.7093,-1.9259,198,181
175,-2.1734,-1.8888,-2.015,-2.4142,-1.9825,-1.9278,-2.2274,-2.1661,-2.0552,205,187
151,-1.4887,-2.2557,-1.8528,-1.9194,-1.6758,-2.0847,-1.743,-3.0029,-2.0764,120,143
222,-2.3612,-2.2623,-1.8282,-2.3777,,-2.375,-2.3437,-2.0232,-2.1334,186,226
245,-1.7913,-2.0798,-2.302,-1.4767,,-2.4811,-2.5134,-1.8859,-2.2237,198,205
190,-1.9936,-2.3087,-1.9604,-2.4858,,-2.4636,-1.8947,-1.5408,-1.8882,225,150
163,-2.3556,-1.6257,-1.7588,-1.8222,,-2.4727,-1.8767,-1.5093,-2.0199,193,216
178,-1.9116,-1.5903,-2.3338,-1.7699,,-1.7469,-1.7811,-2.3053,-2.1759,193,182
202,-1.8754,-1.8364,-1.7499,-2.8549,,-2.0575,-2.047,-1.6415,-2.643,190,192
181,-2.0955,-1.864,-2.3227,-2.0922,,-2.2638,-1.791,-2.1144,-2.2348,205,169
184,-2.1551,-1.9143,-2.2933,-1.8806,,-1.7857,-1.8144,-2.5591,-1.6593,184,160
150,-2.2843,-2.6985,-2.235,-2.2218,,-2.3291,-2.0156,-1.7489,-2.2574,187,192
,,,,11:00,,,,,18:00,,
25,,,,,0.045,0.045,0.045,0.045,0.045,35,2
20,,,,,0.045,0.045,0.045,0.045,0.045,9,10
68,,,,,0.045,0.045,0.045,0.045,0.045,40,6
28,,,,,0.045,0.045,0.045,0.045,0.045,8,24
40,,,,,0.045,0.045,0.045,0.045,0.045,13,43
30,,,,,0.045,0.045,0.045,0.045,0.045,4,25
24,,,,,0.045,0.045,0.045,0.045,0.045,7,3
26,,,,,0.045,0.045,0.045,0.045,0.045,23,1
49,,,,,0.045,0.045,0.045,0.045,0.045,2,19
25,,,,,0.045,0.045,0.045,0.045,0.045,5,13
49,,,,,0.045,0.045,0.045,0.045,0.045,80,57
22,,,,,0.045,0.045,0.045,0.045,0.045,14,26
45,,,,,0.045,0.045,0.045,0.045,0.045,2,5
10,,,,,0.045,0.045,0.045,0.045,0.045,25,50
37,,,,,0.045,0.045,0.045,0.045,0.045,7,16
22,,,,,0.045,0.045,0.045,0.045,0.045,7,18
2,,,,,0.045,0.045,0.045,0.045,0.045,10,8
19,,,,,0.045,0.045,0.045,0.045,0.045,5,31
16,,,,,0.045,0.045,0.045,0.045,0.045,16,40
50,,,,,0.045,0.045,0.045,0.045,0.045,13,8
607,,,,,,,,,,325,405
