0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
232,-0.8118,-1.9931,-2.3422,-2.5696,-2.229,-2.3506,-0.6532,-1.7878,-2.2846,225,200
165,-1.6576,-0.7775,-1.4921,-1.9003,-2.2399,-2.7964,-2.2929,-2.157,-2.0382,213,207
273,-1.9128,-2.3729,-1.7444,-2.4241,-2.1066,-1.4628,-2.1334,-1.8244,-2.2008,173,172
112,-2.0903,-1.5383,-1.9666,-1.7236,-2.0228,-1.9578,-1.795,-2.5191,-2.0089,194,248
235,-1.8671,-2.2298,-2.2091,-2.2475,-1.8225,-1.9876,-1.6632,-2.1952,-2.2235,238,156
190,-2.5246,-2.5189,-1.9542,-2.5382,-2.3809,-2.2595,-1.9794,-1.5512,-1.8421,162,257
185,-1.4611,-1.4376,-2.0831,-1.9503,-1.5569,-2.3138,-2.0698,-2.1706,-1.8329,282,160
200,-2.4303,-2.2611,-2.1811,-2.2634,-2.0525,-2.1937,-1.4788,-2.2592,-1.9112,245,237
187,-2.2589,-1.6241,-2.0654,-2.4774,-1.6284,-1.6218,-2.2634,-1.9656,-1.8811,211,163
239,-2.3753,-3.0027,-2.5617,-1.6554,-2.4564,-1.0337,-1.6852,-2.7641,-2.2709,225,194
166,-2.0376,-2.4926,-1.7336,-1.726,,-2.681,-2.0487,-2.0335,-1.9138,241,181
179,-2.5651,-1.776,-1.4407,-2.5745,,-2.2735,-1.6239,-2.803,-2.2491,154,229
128,-2.175,-1.1948,-2.7497,-1.9674,,-1.4473,-2.629,-1.7039,-1.633,198,265
168,-2.3007,-2.6556,-1.6063,-2.5141,,-2.2931,-2.0072,-1.8958,-2.1393,222,133
173,-1.5965,-1.7376,-1.6227,-2.0154,,-2.0363,-2.0334,-2.1774,-1.9552,164,241
275,-1.6004,-1.9498,-2.4628,-2.3762,,-1.2657,-2.1413,-2.1688,-2.1845,261,204
204,-2.8047,-1.4653,-1.8294,-1.7298,,-1.9745,-1.8038,-2.0556,-1.6469,224,207
257,-1.8896,-1.5192,-2.4065,-1.9089,,-2.1408,-2.4428,-2.3253,-2.5065,175,215
270,-2.2944,-1.6099,-2.6951,-2.1682,,-1.9437,-2.0376,-1.8325,-2.0592,193,197
152,-2.0663,-2.373,-2.3066,-2.2166,,-1.8782,-2.2736,-2.3121,-2.1464,205,199
,,15:23,,15:30,,,,,,,
32,,,,,,,,,,25,0
35,,,,,,,,,,13,7
73,,,,,,,,,,27,28
88,,,,,,,,,,6,48
35,,,,,,,,,,38,44
10,,,,,,,,,,38,57
15,,,,,,,,,,82,40
0,,,,,,,,,,45,37
13,,,,,,,,,,11,37
39,,,,,,,,,,25,6
34,,,,,,,,,,41,19
21,,,,,,,,,,46,29
72,,,,,,,,,,2,65
32,,,,,,,,,,22,67
27,,,,,,,,,,36,41
75,,,,,,,,,,61,4
4,,,,,,,,,,24,7
57,,,,,,,,,,25,15
70,,,,,,,,,,7,3
48,,,,,,,,,,5,1
780,,,,,,,,,,579,555
