0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
287,-1.0725,-2.3835,-2.6597,-1.845,-1.845,-1.4739,-1.5965,-2.6612,-2.1517,250,320
211,-1.0807,-1.3514,-3.0016,-1.3091,-1.3091,-2.3795,-2.1595,-1.6552,-1.7078,300,176
223,-1.171,-1.6091,-1.7,-1.8828,-1.8828,-2.1159,-1.8898,-1.5085,-2.4824,162,214
180,-1.4626,-1.3181,-1.5264,-1.9973,-1.9973,-2.1549,-1.1349,-1.6551,-2.5303,190,181
155,-1.8874,-2.1373,-1.3399,-1.934,-1.934,-1.6528,-2.5852,-2.3219,-2.2717,161,201
200,-2.4244,-1.8821,-2.5169,-2.1669,-2.1669,-1.3753,-1.7675,-1.9449,-2.3094,173,242
260,-1.9045,-1.7607,-1.7207,-2.0965,-2.0965,-2.6422,-2.1137,-2.1123,-1.8148,222,188
182,-1.3998,-1.7065,-1.4843,-2.3149,-2.3149,-1.9371,-2.4692,-1.0932,-1.8567,215,135
232,-1.172,-2.2837,-1.8925,-1.9955,-1.9955,-1.889,-1.8298,-2.5551,-2.6026,242,179
281,-1.3234,-1.8798,-1.4611,-1.879,-1.879,-1.9851,-1.8424,-1.8652,-1.8138,220,274
177,-3.0011,-1.9989,-1.3268,-2.1137,,-2.279,-2.0075,-2.3554,-2.3347,210,213
178,-2.6045,-2.4512,-2.497,-1.8779,,-2.105,-2.2445,-2.1676,-2.3767,152,183
130,-2.2365,-1.6068,-1.7409,-2.2914,,-2.0476,-1.8356,-1.939,-1.6236,113,250
234,-2.6471,-1.5338,-1.7407,-1.9853,,-2.4721,-2.4818,-1.7557,-2.494,222,145
200,-2.5726,-1.9972,-2.0229,-1.557,,-1.9309,-1.6057,-2.3429,-2.2297,140,252
183,-1.3226,-2.0496,-2.411,-2.3195,,-1.3746,-2.6508,-2.0008,-2.1254,304,155
184,-2.5713,-1.4908,-2.0694,-1.2703,,-2.5486,-1.4229,-1.061,-1.9308,197,169
191,-1.9164,-2.526,-2.4354,-2.4633,,-1.9523,-1.9088,-1.4896,-2.2646,190,167
183,-2.5455,-1.7076,-1.7993,-1.6538,,-2.2202,-1.5249,-2.3396,-1.9428,157,197
200,-1.3498,-1.7767,-0.7996,-2.0762,,-1.9488,-2.0367,-2.2586,-2.1552,225,265
,,,,,,,,,,,
87,,,,,,,,,,50,120
11,,,,,,,,,,100,24
23,,,,,,,,,,38,14
20,,,,,,,,,,10,19
45,,,,,,,,,,39,1
0,,,,,,,,,,27,42
60,,,,,,,,,,22,12
18,,,,,,,,,,15,65
32,,,,,,,,,,42,21
81,,,,,,,,,,20,74
23,,,,,,,,,,10,13
22,,,,,,,,,,48,17
70,,,,,,,,,,87,50
34,,,,,,,,,,22,55
0,,,,,,,,,,60,52
17,,,,,,,,,,104,45
16,,,,,,,,,,3,31
9,,,,,,,,,,10,33
17,,,,,,,,,,43,3
0,,,,,,,,,,25,65
585,,,,,,,,,,775,756
