0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
166,-1.734,-1.1198,-2.1075,-1.5677,-1.8949,-1.7969,-2.2911,-2.261,-1.589,208,160
161,-1.4005,-2.4137,-1.4637,-2.14,-1.5032,-1.6751,-1.7764,-1.8183,-1.9817,181,160
182,-1.6057,-1.8942,-1.7629,-1.4378,-1.522,-2.6634,-1.7045,-1.9264,-1.7653,174,162
170,-1.9067,-1.6606,-1.4996,-1.9261,-1.6191,-1.8127,-2.0249,-1.859,-1.9995,183,175
162,-1.9277,-1.8062,-1.722,-1.9941,-1.6957,-1.5954,-2.1942,-1.7047,-1.671,185,207
195,-1.9329,-1.7456,-2.3196,-1.8593,-1.284,-2.1263,-1.8372,-1.9973,-1.9877,186,169
228,-2.0394,-2.1512,-1.6185,-1.7068,-1.7525,-2.1144,-2.087,-1.8032,-2.0924,176,164
163,-1.7128,-1.6515,-1.4713,-1.5185,-1.3994,-2.3424,-2.0321,-1.8971,-1.848,194,180
188,-2.4683,-1.8196,-2.1331,-1.8063,-1.8943,-1.5753,-2.0805,-1.9238,-2.2059,187,195
219,-1.9584,-1.9254,-1.8466,-2.0963,-2.0747,-1.8137,-1.8633,-1.9541,-2.1269,194,196
171,-2.4085,-1.7807,-2.1711,-1.8038,,-1.6488,-1.4951,-1.889,-1.8863,193,208
185,-1.9672,-1.8959,-2.1684,-1.9007,,-1.8442,-1.7615,-2.2246,-1.691,167,185
185,-1.758,-1.8585,-1.616,-2.2809,,-1.6813,-1.8635,-1.7824,-2.1406,181,195
171,-2.1701,-1.8259,-1.6975,-2.08,,-2.0141,-1.8721,-2.0852,-1.8933,170,189
194,-2.1602,-2.0714,-1.7732,-2.5447,,-1.8101,-1.6398,-1.7807,-2.1261,193,183
230,-1.7432,-2.0976,-1.6766,-2.1945,,-1.7076,-1.8162,-1.8668,-1.9206,203,203
212,-1.8969,-1.6676,-1.6542,-2.0568,,-1.4679,-2.0482,-1.7957,-1.8897,195,185
212,-1.9656,-1.4687,-2.1276,-2.0718,,-1.9937,-2.1754,-1.8039,-1.7187,186,198
146,-2.3902,-1.5695,-1.7779,-2.209,,-1.848,-1.8465,-1.9086,-1.88,195,205
169,-1.9193,-2.0495,-2.15,-2.0871,,-1.8756,-1.6875,-1.4946,-2.0204,200,178
,,,,15:49,,,,,21:24,,
34,,,,,,,,,,8,40
39,,,,,,,,,,19,40
18,,,,,,,,,,26,38
30,,,,,,,,,,17,25
38,,,,,,,,,,15,7
5,,,,,,,,,,14,31
28,,,,,,,,,,24,36
37,,,,,,,,,,6,20
12,,,,,,,,,,13,5
19,,,,,,,,,,6,4
29,,,,,,,,,,7,8
15,,,,,,,,,,33,15
15,,,,,,,,,,19,5
29,,,,,,,,,,30,11
6,,,,,,,,,,7,17
30,,,,,,,,,,3,3
12,,,,,,,,,,5,15
12,,,,,,,,,,14,2
54,,,,,,,,,,5,5
31,,,,,,,,,,0,22
493,,,,,,,,,,271,349
