0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
228,-1.0833,-1.7573,-1.6684,-1.7619,-1.3396,-1.7046,-1.8292,-1.8518,-1.808,181,189
175,-1.1812,-1.8826,-2.0046,-1.7708,-2.1299,-1.703,-1.935,-1.7288,-1.4824,211,171
197,-1.2563,-1.7609,-1.8401,-2.0441,-2.2255,-1.6378,-1.7101,-1.8495,-1.377,188,166
198,-1.4735,-1.8137,-1.9096,-1.9188,-2.1108,-1.8498,-2.2146,-2.1208,-2.1658,195,204
199,-1.5285,-1.926,-2.0475,-2.0565,-1.4426,-1.9633,-2.1167,-1.9541,-2.547,165,214
196,-2.0228,-1.6775,-1.8947,-1.909,-1.6844,-1.7075,-1.8794,-1.968,-1.7865,195,181
224,-2.2998,-1.9891,-1.7236,-1.8203,-1.7594,-1.9928,-2.0148,-2.1033,-1.8359,186,217
191,-1.7988,-2.0131,-1.9243,-2.4615,-2.0467,-2.0782,-2.4664,-1.5582,-2.3603,201,191
219,-2.2337,-1.7838,-2.0612,-2.0205,-1.8566,-1.9457,-2.0461,-1.9279,-2.7929,173,195
200,-2.2314,-1.7967,-1.813,-1.8387,-1.8854,-2.1684,-2.2009,-1.9084,-2.0165,195,215
182,-2.2921,-2.092,-1.6956,-1.7835,,-1.9114,-2.0462,-2.1736,-1.8631,197,224
204,-1.8378,-2.2008,-1.7634,-2.0377,,-1.9005,-1.9842,-1.916,-1.8803,184,185
200,-1.8407,-1.8162,-1.7631,-2.0764,,-2.2768,-1.7231,-1.4648,-1.6226,186,196
225,-1.729,-1.6844,-2.0491,-1.9861,,-2.0127,-1.7058,-1.9242,-2.0163,184,195
210,-2.0549,-1.6762,-2.1059,-1.9034,,-1.8026,-2.3139,-1.9028,-1.785,199,225
182,-1.7656,-1.9508,-1.7276,-2.0723,,-2.299,-1.9527,-1.3423,-1.7192,200,171
206,-1.9033,-2.0404,-1.9011,-2.0519,,-2.0454,-1.9891,-2.2312,-1.5425,204,207
184,-1.9733,-1.4452,-1.8845,-1.7455,,-1.7389,-2.3019,-1.6418,-1.7368,174,190
199,-2.2477,-1.8784,-1.6099,-1.9045,,-2.2976,-2.0137,-1.6547,-2.0642,214,206
214,-1.7887,-1.7497,-2.2209,-1.8042,,-1.8055,-1.5315,-1.7848,-1.5996,198,208
,,,,,,,,,,,
28,,,,,,,,,,19,11
25,,,,,,,,,,11,29
3,,,,,,,,,,12,34
2,,,,,,,,,,5,4
1,,,,,,,,,,35,14
4,,,,,,,,,,5,19
24,,,,,,,,,,14,17
9,,,,,,,,,,1,9
19,,,,,,,,,,27,5
0,,,,,,,,,,5,15
18,,,,,,,,,,3,24
4,,,,,,,,,,16,15
0,,,,,,,,,,14,4
25,,,,,,,,,,16,5
10,,,,,,,,,,1,25
18,,,,,,,,,,0,29
6,,,,,,,,,,4,7
16,,,,,,,,,,26,10
1,,,,,,,,,,14,6
14,,,,,,,,,,2,8
227,,,,,,,,,,230,290
