0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
60,-2.3364,-1.4631,-0.8926,-1.1009,-1.242,-1.916,-2.5616,-2.6252,-2.2899,313,137
218,-2.0745,-1.8361,-1.2564,-2.3457,-1.419,-1.6762,-0.933,-1.9938,-1.2125,134,171
117,-1.4761,-1.6605,-1.707,-2.0088,-1.6146,-2.1988,-2.1023,-1.9548,-1.4966,101,220
151,-2.1461,-1.8748,-1.84,-2.5252,-1.7439,-1.5299,-2.3802,-1.6225,-1.8772,151,174
182,-2.357,-1.7367,-1.9881,-0.9645,-2.1577,-2.2534,-2.6519,-1.98,-1.6033,206,177
140,-2.0819,-1.2,-1.8297,-2.4036,-1.4165,-1.8565,-2.2073,-1.4683,-1.8657,210,124
270,-1.93,-2.0126,-1.2924,-1.6513,-2.5786,-2.2239,-1.6502,-1.9932,-1.4635,180,153
113,-2.3239,-2.4192,-1.8186,-1.9623,-2.1348,-1.7412,-2.3593,-1.9924,-1.9951,137,213
173,-1.6524,-1.592,-1.6401,-1.7909,-2.7592,-2.4959,-1.3405,-1.8898,-2.1416,207,255
204,-2.6651,-2.5402,-2.011,-2.4525,-1.6233,-2.0137,-2.3813,-1.7224,-1.8133,196,172
73,-2.3508,-0.9626,-2.3285,-1.3665,,-1.9104,-1.8508,-2.3303,-1.6852,150,175
256,-1.4751,-1.4682,-1.6807,-2.3129,,-1.3776,-2.3059,-1.568,-1.8155,140,222
172,-2.9548,-2.38,-1.8946,-1.7475,,-2.304,-2.1461,-1.8802,-1.8404,211,152
160,-0.753,-1.7478,-0.9937,-1.9641,,-1.899,-1.476,-2.0256,-2.0563,182,105
131,-2.0778,-1.6855,-2.0316,-1.6638,,-2.1591,-1.7622,-1.722,-1.4074,175,176
193,-1.4828,-1.5006,-1.3361,-1.2783,,-1.6068,-2.8912,-2.034,-1.9575,320,304
229,-2.2827,-2.0268,-1.2116,-2.0617,,-2.0675,-2.1069,-1.9725,-1.8862,107,168
173,-1.9783,-1.183,-2.9292,-2.0241,,-1.9552,-2.0459,-1.5796,-1.9108,230,226
104,-1.3814,-2.3205,-1.4254,-2.148,,-2.248,-2.2477,-2.0797,-1.6397,312,181
258,-1.4547,-1.9824,-1.9022,-1.4861,,-1.1806,-1.9076,-1.6278,-1.8948,135,189
,,,,15:32,,,,,20:57,,
140,,,,,,,,,,113,63
18,,,,,,,,,,66,29
83,,,,,,,,,,99,20
49,,,,,,,,,,49,26
18,,,,,,,,,,6,23
60,,,,,,,,,,10,76
70,,,,,,,,,,20,47
87,,,,,,,,,,63,13
27,,,,,,,,,,7,55
4,,,,,,,,,,4,28
127,,,,,,,,,,50,25
56,,,,,,,,,,60,22
28,,,,,,,,,,11,48
40,,,,,,,,,,18,95
69,,,,,,,,,,25,24
7,,,,,,,,,,120,104
29,,,,,,,,,,93,32
27,,,,,,,,,,30,26
96,,,,,,,,,,112,19
58,,,,,,,,,,65,11
1093,,,,,,,,,,1021,786
