0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
197,-0.7024,-2.8534,-0.5333,-2.3723,-2.6565,-3.0001,-3.0026,-1.7693,-2.4777,292,258
205,-1.9376,-0.6901,-2.4186,-1.4286,-1.2481,-2.6714,-2.1631,-2.3172,-2.4977,204,158
192,-0.6202,-2.7033,-3.0002,-2.3901,-1.262,-1.8102,-1.8707,-1.2812,-2.0635,184,98
90,-2.5574,-2.434,-2.6829,-2.1083,-1.8637,-1.842,-2.7983,-2.0943,-2.0884,237,265
196,-2.2608,-1.5664,-2.6096,-1.2126,-2.5059,-2.6312,-2.0537,-1.5615,-1.7037,310,188
197,-2.126,-2.7682,-2.598,-2.7975,-2.3888,-0.9031,-2.1726,-2.4905,-2.4274,170,160
203,-1.1938,-2.6799,-1.3459,-1.9289,-1.4362,-2.518,-2.5445,-1.5936,-2.8674,125,134
205,-1.4938,-2.0369,-2.5151,-2.5814,-2.5184,-2.5653,-2.4754,-2.6229,-2.1809,300,310
137,-2.0748,-3.0029,-1.8757,-2.5888,-1.9192,-2.4082,-2.798,-1.2475,-2.6429,202,163
299,-1.9562,-3.0017,-1.6087,-2.3069,-2.1262,-2.2726,-2.7221,-1.9945,-1.9812,117,263
123,-2.3245,-2.8656,-2.2484,-1.4763,,-2.2817,-1.78,-2.585,-1.9156,133,228
320,-1.7962,-3.0031,-2.1461,-1.7188,,-1.2231,-1.4695,-2.0828,-2.3338,133,89
160,-1.8065,-1.688,-2.0304,-2.0188,,-2.6985,-2.1814,-2.2949,-1.7469,300,273
90,-2.396,-3.0008,-1.6938,-1.9064,,-3.0023,-1.3338,-1.3432,-2.576,175,234
120,-1.0908,-2.7666,-1.8257,-2.6096,,-2.0724,-2.2296,-2.4035,-2.6504,210,134
280,-2.644,-2.4602,-1.8423,-1.6068,,-1.4762,-1.375,-1.973,-1.1956,120,225
121,-1.5828,-2.2357,-1.2951,-2.5935,,-2.9732,-1.1812,-1.7901,-1.3515,243,128
284,-2.5495,-1.8121,-1.9188,-2.1283,,-0.5843,-2.1183,-1.8284,-1.8758,169,320
150,-1.7709,-2.6289,-2.2647,-2.4699,,-2.1929,-2.1186,-1.6644,-0.6468,207,194
188,-3.0012,-2.8133,-1.5885,-2.6014,,-1.9746,-2.635,-1.6493,-1.37,157,296
,,,,15:12,20:15,,,,20:30,,
3,,,,,,0.049,0.047,0.047,0.049,92,58
5,,,,,,0.049,0.047,0.047,0.049,4,42
8,,,,,,0.049,0.047,0.047,0.049,16,102
110,,,,,,0.049,0.047,0.047,0.049,37,65
4,,,,,,0.049,0.047,0.047,0.049,110,12
3,,,,,,0.043,0.041,0.049,0.041,30,40
3,,,,,,0.043,0.041,0.049,0.041,75,66
5,,,,,,0.043,0.041,0.049,0.041,100,110
63,,,,,,0.043,0.041,0.049,0.041,2,37
99,,,,,,0.043,0.041,0.049,0.041,83,63
77,,,,,,0.041,0.049,0.041,0.043,67,28
120,,,,,,0.041,0.049,0.041,0.043,67,111
40,,,,,,0.041,0.049,0.041,0.043,100,73
110,,,,,,0.041,0.049,0.041,0.043,25,34
80,,,,,,0.041,0.049,0.041,0.043,10,66
80,,,,,,0.047,0.043,0.043,0.047,80,25
79,,,,,,0.047,0.043,0.043,0.047,43,72
84,,,,,,0.047,0.043,0.043,0.047,31,120
50,,,,,,0.047,0.043,0.043,0.047,7,6
12,,,,,,0.047,0.043,0.043,0.047,43,96
1035,,,,,,,,,,1022,1226
