0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
151,-1.3805,-1.5392,-1.5518,-0.5561,-1.8597,-1.5881,-1.3808,-1.908,-1.7122,204,232
209,-2.3057,-3.0015,-3.0021,-1.1993,-2.6239,-2.4904,-2.2055,-2.0733,-2.4316,173,160
146,-1.2554,-2.8844,-1.8596,-1.628,-2.8276,-2.8494,-1.3066,-1.8815,-1.6685,230,170
284,-2.4626,-2.2169,-1.1589,-1.7055,-1.8413,-1.94,-2.2051,-2.2199,-1.8135,190,250
169,-2.7521,-2.3482,-0.8376,-1.6509,-2.7463,-1.9542,-2.323,-2.223,-1.9058,176,195
178,-0.8951,-2.4101,-1.4734,-1.9368,-1.2464,-2.7814,-2.5141,-2.559,-2.2901,210,190
173,-2.7901,-2.6165,-0.7593,-1.564,-0.9968,-1.8932,-1.7695,-2.1504,-2.375,240,229
196,-1.3663,-1.1927,-1.0151,-1.9496,-2.3389,-2.4142,-2.3076,-2.1959,-2.4382,160,189
158,-2.5304,-2.1546,-1.7151,-2.2333,-2.5551,-1.9189,-1.2536,-2.2613,-2.7125,197,164
203,-2.1675,-0.9407,-2.2224,-1.2911,-1.4614,-2.2405,-2.1066,-2.0842,-2.3598,192,246
148,-1.3548,-1.4427,-2.1745,-2.2897,,-1.7379,-1.8773,-1.4675,-1.5864,205,152
244,-2.3939,-1.094,-2.092,-2.0786,,-0.8696,-1.756,-2.0825,-1.8994,206,175
183,-2.2918,-1.8511,-1.3859,-2.1362,,-1.8424,-1.9997,-2.3538,-2.1231,155,273
206,-1.6563,-2.5268,-1.5006,-2.1226,,-1.5811,-1.23,-0.4672,-1.1516,182,204
210,-2.4032,-2.3103,-1.9039,-2.2734,,-1.8067,-1.9724,-1.631,-1.4854,169,145
284,-2.4344,-2.5146,-1.4924,-1.5752,,-1.2954,-1.8971,-1.5001,-1.4849,227,145
200,-2.1972,-2.3536,-1.4951,-1.7869,,-1.8632,-2.0932,-2.3872,-2.3203,173,194
167,-2.4055,-1.4976,-2.2334,-1.2614,,-2.5917,-1.6499,-1.7748,-1.9772,191,205
180,-2.3994,-2.2849,-2.6034,-2.675,,-2.1209,-2.0087,-2.0382,-1.6332,255,195
266,-2.1361,-1.7073,-2.1202,-2.3162,,-2.0142,-1.7085,-1.9568,-1.9529,190,217
,,,,,,,,,,,
49,,,,,,0.047,0.041,0.043,0.049,4,32
9,,,,,,0.047,0.041,0.043,0.049,27,40
54,,,,,,0.047,0.041,0.043,0.049,30,30
84,,,,,,0.047,0.041,0.043,0.049,10,50
31,,,,,,0.047,0.041,0.043,0.049,24,5
22,,,,,,0.043,0.043,0.041,0.041,10,10
27,,,,,,0.043,0.043,0.041,0.041,40,29
4,,,,,,0.043,0.043,0.041,0.041,40,11
42,,,,,,0.043,0.043,0.041,0.041,3,36
3,,,,,,0.043,0.043,0.041,0.041,8,46
52,,,,,,0.049,0.049,0.049,0.043,5,48
44,,,,,,0.049,0.049,0.049,0.043,6,25
17,,,,,,0.049,0.049,0.049,0.043,45,73
6,,,,,,0.049,0.049,0.049,0.043,18,4
10,,,,,,0.049,0.049,0.049,0.043,31,55
84,,,,,,0.041,0.047,0.047,0.047,27,55
0,,,,,,0.041,0.047,0.047,0.047,27,6
33,,,,,,0.041,0.047,0.047,0.047,9,5
20,,,,,,0.041,0.047,0.047,0.047,55,5
66,,,,,,0.041,0.047,0.047,0.047,10,17
657,,,,,,,,,,429,582
