0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
180,-1.7246,-2.2587,-2.0073,-2.1871,-2.5434,-2.2438,-2.122,-2.2912,-2.4273,167,160
228,-1.9455,-2.328,-2.1517,-2.0127,-2.2134,-2.2298,-2.2312,-1.5381,-2.2302,239,189
168,-1.7902,-2.2748,-2.6097,-1.8306,-2.1252,-1.9665,-2.2894,-1.7099,-1.8423,185,143
150,-1.5599,-2.0497,-1.8145,-2.2397,-2.2656,-1.7151,-2.152,-1.7995,-1.8075,186,233
170,-1.8532,-1.7474,-2.132,-2.1795,-1.9538,-2.0661,-2.5285,-2.0115,-2.1487,177,110
210,-2.4723,-2.0793,-2.0124,-2.0562,-2.4336,-2.111,-2.2028,-1.7029,-1.7794,174,190
291,-2.3712,-2.226,-1.6054,-2.0239,-1.9203,-2.0868,-2.3255,-1.8672,-2.0377,192,235
179,-1.9802,-2.0586,-2.0002,-1.8853,-2.2565,-2.0235,-1.7775,-1.6519,-2.0216,155,168
195,-2.2311,-1.648,-1.9109,-1.9723,-2.4152,-2.2048,-2.082,-2.1604,-1.8079,199,198
248,-1.8392,-1.6459,-1.7956,-1.8392,-2.1643,-1.9867,-1.791,-1.9569,-1.7681,222,164
225,-2.6003,-2.2479,-1.6372,-1.856,,-1.7675,-1.9049,-2.2331,-2.0799,196,194
230,-2.4857,-2.1223,-2.5057,-2.1417,,-1.912,-1.9884,-2.2897,-2.1442,202,170
215,-2.1809,-2.1197,-2.3893,-2.2713,,-1.8201,-2.0459,-2.2079,-2.2322,255,220
205,-1.6635,-2.2811,-2.1096,-2.5645,,-1.9184,-2.127,-1.7671,-2.5862,225,199
245,-1.7275,-2.1437,-2.05,-2.2266,,-1.8826,-1.9822,-2.1305,-2.049,184,195
143,-2.5434,-2.2691,-1.9119,-2.6265,,-2.0587,-2.3032,-2.3232,-1.7122,192,214
205,-2.3485,-2.1942,-1.9503,-2.154,,-1.9454,-2.4917,-2.3106,-1.8819,200,198
190,-1.8897,-1.856,-2.0694,-2.325,,-1.8729,-2.3004,-2.1904,-1.7772,155,205
258,-1.9753,-1.8523,-2.1079,-1.629,,-1.6775,-1.9499,-1.9808,-1.8716,185,182
164,-2.6612,-2.3565,-2.1651,-1.9002,,-1.7956,-2.2531,-2.2447,-1.8406,200,159
,,,,11:30?,19:00,,,,19:15,,
20,,,,,,0.043,0.041,0.047,0.041,33,40
28,,,,,,0.043,0.041,0.047,0.041,39,11
32,,,,,,0.043,0.041,0.047,0.041,15,57
50,,,,,,0.043,0.041,0.047,0.041,14,33
30,,,,,,0.043,0.041,0.047,0.041,23,90
10,,,,,,0.041,0.047,0.049,0.047,26,10
91,,,,,,0.041,0.047,0.049,0.047,8,35
21,,,,,,0.041,0.047,0.049,0.047,45,32
5,,,,,,0.041,0.047,0.049,0.047,1,2
48,,,,,,0.041,0.047,0.049,0.047,22,36
25,,,,,,0.047,0.049,0.043,0.043,4,6
30,,,,,,0.047,0.049,0.043,0.043,2,30
15,,,,,,0.047,0.049,0.043,0.043,55,20
5,,,,,,0.047,0.049,0.043,0.043,25,1
45,,,,,,0.047,0.049,0.043,0.043,16,5
57,,,,,,0.049,0.043,0.041,0.049,8,14
5,,,,,,0.049,0.043,0.041,0.049,0,2
10,,,,,,0.049,0.043,0.041,0.049,45,5
58,,,,,,0.049,0.043,0.041,0.049,15,18
36,,,,,,0.049,0.043,0.041,0.049,0,41
621,,,,,,,,,,396,488
