0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
195,-0.8389,-1.8271,-1.1245,-2.6181,-2.0939,-2.3717,-1.2276,-2.1477,-2.1254,214,204
191,-1.4701,-0.9408,-2.0834,-2.0523,-1.6358,-1.8054,-1.6789,-2.4334,-2.1039,191,261
60,-2.9849,-2.5776,-1.8238,-2.2399,-1.5557,-1.6823,-2.8386,-1.7273,-2.4779,234,219
168,-1.6087,-1.6747,-2.1449,-2.392,-1.4893,-2.0587,-2.4136,-1.7807,-0.5615,192,223
310,-1.6909,-1.6383,-2.2529,-1.9443,-2.625,-1.4866,-2.2209,-2.3237,-1.7598,234,158
160,-1.554,-2.7247,-2.094,-1.4756,-2.1826,-2.1161,-1.9263,-1.9655,-1.9584,187,182
165,-2.4705,-1.824,-2.3867,-1.757,-2.3687,-0.4813,-2.5783,-2.1648,-1.5258,167,177
173,-2.1621,-1.8639,-2.3374,-1.6363,-2.4716,-2.4715,-2.5867,-1.8491,-1.9001,177,149
245,-2.5322,-2.2006,-1.8672,-2.4902,-2.3189,-2.0971,-2.0605,-0.7336,-1.5259,203,218
199,-1.8092,-2.4844,-1.4088,-1.7695,-2.7351,-2.527,-1.5505,-1.8947,-1.6151,196,225
180,-2.0871,-1.9261,-2.3028,-2.0798,,-2.9454,-1.8758,-1.417,-2.5358,205,173
191,-2.2798,-1.7193,-2.2538,-2.2374,,-2.818,-2.0444,-1.7437,-1.7498,181,200
178,-2.0358,-1.5379,-2.7128,-2.5558,,-2.2404,-1.3456,-0.5102,-1.7355,208,225
149,-1.8743,-1.6751,-2.6786,-2.1309,,-2.4963,-2.0671,-1.7074,-1.6224,230,218
149,-2.8509,-1.8502,-2.4312,-2.4613,,-2.5097,-1.8377,-1.4743,-1.4131,192,213
169,-1.9291,-1.5882,-2.278,-1.8803,,-1.8862,-2.3659,-1.8487,-2.1694,152,185
214,-2.0758,-1.8586,-2.6076,-2.1975,,-1.5365,-2.6195,-1.2668,-1.4917,218,192
200,-1.6297,-2.1981,-2.4188,-1.3699,,-1.802,-2.3918,-1.4217,-2.3203,221,201
195,-1.9187,-2.0336,-2.3796,-1.806,,-1.5156,-1.6517,-2.1915,-2.2262,172,203
196,-1.6083,-1.7525,-2.1878,-1.9849,,-2.2205,-1.4992,-1.8199,-1.2838,211,200
,,,,,17:40,,,,18:08,,
5,,,,,,0.047,0.049,0.041,0.043,14,4
9,,,,,,0.047,0.049,0.041,0.043,9,61
140,,,,,,0.047,0.049,0.041,0.043,34,19
32,,,,,,0.047,0.049,0.041,0.043,8,23
110,,,,,,0.047,0.049,0.041,0.043,34,42
40,,,,,,0.049,0.043,0.043,0.049,13,18
35,,,,,,0.049,0.043,0.043,0.049,33,23
27,,,,,,0.049,0.043,0.043,0.049,23,51
45,,,,,,0.049,0.043,0.043,0.049,3,18
1,,,,,,0.049,0.043,0.043,0.049,4,25
20,,,,,,0.041,0.047,0.047,0.041,5,27
9,,,,,,0.041,0.047,0.047,0.041,19,0
22,,,,,,0.041,0.047,0.047,0.041,8,25
51,,,,,,0.041,0.047,0.047,0.041,30,18
51,,,,,,0.041,0.047,0.047,0.041,8,13
31,,,,,,0.043,0.041,0.049,0.047,48,15
14,,,,,,0.043,0.041,0.049,0.047,18,8
0,,,,,,0.043,0.041,0.049,0.047,21,1
5,,,,,,0.043,0.041,0.049,0.047,28,3
4,,,,,,0.043,0.041,0.049,0.047,11,0
651,,,,,,,,,,371,394
