0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
265,-1.7218,-1.8622,-1.954,-2.0084,-2.2058,-2.3322,-2.5815,-2.601,-1.7696,242,186
239,-2.0436,-2.6936,-2.8215,-2.143,-1.7324,-2.4854,-1.5048,-2.4501,-2.1115,186,201
210,-1.9496,-2.5042,-2.1947,-2.2204,-2.2122,-1.9209,-1.3998,-2.2781,-2.2459,173,163
210,-2.0037,-1.3433,-1.8961,-2.6955,-1.9172,-2.2725,-1.9379,-2.3693,-1.8816,210,210
155,-1.5539,-1.7909,-1.8875,-2.1871,-1.7791,-1.9606,-1.9831,-1.5395,-1.9059,175,201
189,-2.8191,-2.0205,-2.036,-1.7751,-2.0782,-1.8395,-1.4644,-1.4919,-1.6695,213,168
202,-1.4819,-1.9308,-2.2979,-2.2192,-1.9637,-1.3113,-1.5818,-2.1906,-2.1915,200,196
236,-2.417,-1.8227,-2.2376,-1.928,-1.6875,-1.7506,-1.6151,-1.5016,-1.9763,212,198
203,-2.3609,-1.9147,-1.6314,-1.8146,-1.2418,-1.787,-1.7655,-1.4603,-1.5352,158,211
196,-1.5505,-1.9712,-2.3439,-2.2324,-2.0992,-1.6107,-2.2483,-1.8948,-2.21,228,201
187,-2.578,-2.3626,-2.1904,-2.2193,,-1.851,-1.3706,-2.5148,-2.2221,162,255
192,-1.8838,-1.8622,-1.8648,-1.8836,,-2.458,-1.6687,-2.0452,-2.0717,200,250
163,-2.1688,-2.5779,-2.0214,-2.2899,,-1.281,-2.3101,-1.6879,-1.8736,248,185
268,-2.2657,-2.6998,-2.1587,-2.3174,,-1.7953,-1.462,-2.4368,-1.868,199,176
212,-1.906,-1.9293,-2.0399,-2.0532,,-2.0332,-1.5814,-1.8258,-2.586,210,241
160,-2.5444,-1.9985,-1.7797,-1.8589,,-1.7135,-2.7086,-2.2838,-2.2026,209,225
282,-1.7011,-2.4016,-1.7879,-1.8249,,-2.3161,-2.5137,-1.8921,-2.0732,227,186
232,-2.1517,-2.1576,-2.0422,-1.9342,,-1.5706,-2.3232,-1.3805,-2.5014,229,206
220,-1.9787,-2.3246,-2.4519,-1.4647,,-1.9528,-1.8541,-2.3407,-2.1944,175,178
180,-2.7332,-2.3644,-1.814,-2.297,,-1.9335,-2.1162,-2.6615,-1.9428,217,182
,,,,15:52,,,,,18:22,,
65,,,,,,0.041,0.041,0.041,0.047,42,14
39,,,,,,0.041,0.041,0.041,0.047,14,1
10,,,,,,0.041,0.041,0.041,0.047,27,37
10,,,,,,0.041,0.041,0.041,0.047,10,10
45,,,,,,0.041,0.041,0.041,0.047,25,1
11,,,,,,0.047,0.047,0.049,0.049,13,32
2,,,,,,0.047,0.047,0.049,0.049,0,4
36,,,,,,0.047,0.047,0.049,0.049,12,2
3,,,,,,0.047,0.047,0.049,0.049,42,11
4,,,,,,0.047,0.047,0.049,0.049,28,1
13,,,,,,0.043,0.049,0.047,0.043,38,55
8,,,,,,0.043,0.049,0.047,0.043,0,50
37,,,,,,0.043,0.049,0.047,0.043,48,15
68,,,,,,0.043,0.049,0.047,0.043,1,24
12,,,,,,0.043,0.049,0.047,0.043,10,41
40,,,,,,0.049,0.043,0.043,0.041,9,25
82,,,,,,0.049,0.043,0.043,0.041,27,14
32,,,,,,0.049,0.043,0.043,0.041,29,6
20,,,,,,0.049,0.043,0.043,0.041,25,22
20,,,,,,0.049,0.043,0.043,0.041,17,18
557,,,,,,,,,,417,383
