0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
214,-0.6906,-1.119,-1.9284,-0.8722,-2.8414,-2.5944,-1.7866,-2.8168,-2.2016,192,191
146,-1.6823,-1.701,-1.959,-1.2698,-2.0298,-1.9515,-2.1472,-1.9436,-1.1658,190,212
162,-1.1858,-1.8859,-1.8511,-2.0522,-1.9818,-1.9546,-2.7723,-1.6626,-2.9243,163,193
216,-1.477,-0.8043,-1.8496,-2.428,-2.2807,-1.8566,-1.4971,-1.6801,-1.8092,196,223
222,-1.649,-1.187,-1.8925,-1.7493,-1.5667,-1.9863,-2.7036,-1.296,-2.5466,191,202
172,-1.4647,-1.1804,-1.5149,-2.0746,-1.6492,-1.7739,-1.7319,-1.8093,-2.2516,171,161
143,-2.2155,-1.1862,-1.9362,-1.9161,-1.554,-1.2892,-1.2899,-1.9857,-2.2129,196,195
156,-2.1319,-2.4777,-2.08,-1.8859,-1.5331,-1.6757,-1.9006,-2.223,-2.6159,227,204
210,-1.5853,-2.1215,-2.038,-2.3229,-1.8257,-2.2291,-2.3957,-2.0436,-2.1554,147,218
100,-2.0551,-2.2379,-1.982,-1.5668,-1.7465,-1.9158,-2.1299,-1.8324,-2.3049,186,195
210,-1.7377,-2.4983,-1.7254,-1.735,,-1.7466,-1.2225,-1.9215,-2.4166,233,217
176,-1.6198,-1.5775,-1.4325,-1.9254,,-2.2656,-1.2948,-2.0151,-1.9456,205,210
176,-1.2331,-1.4858,-1.5313,-2.1934,,-1.8337,-1.3194,-2.501,-2.5446,180,178
152,-1.4862,-1.5816,-2.0105,-1.9891,,-2.1178,-2.6982,-1.9339,-2.3902,190,222
240,-1.3996,-2.3029,-1.8227,-1.3483,,-2.2314,-1.7083,-2.5254,-2.1986,193,191
158,-2.0599,-1.2111,-2.4585,-2.3496,,-2.6916,-2.118,-1.768,-2.5788,177,195
199,-1.8428,-2.043,-1.8589,-1.9796,,-1.8972,-1.9396,-1.5479,-1.6974,201,207
182,-1.4656,-2.1219,-1.8919,-2.2218,,-1.2233,-1.9788,-2.2807,-1.9028,220,228
186,-0.876,-1.8882,-2.0913,-1.5594,,-2.3428,-2.1482,-2.1712,-1.6819,161,180
196,-1.3456,-1.8919,-1.931,-1.6065,,-1.7741,-2.0009,-2.0594,-1.7339,218,210
,,,,,,,,,21:00,,
14,,,,,,0.043,0.041,0.049,0.043,8,9
54,,,,,,0.043,0.041,0.049,0.043,10,12
38,,,,,,0.043,0.041,0.049,0.043,37,7
16,,,,,,0.043,0.041,0.049,0.043,4,23
22,,,,,,0.043,0.041,0.049,0.043,9,2
28,,,,,,0.049,0.043,0.047,0.049,29,39
57,,,,,,0.049,0.043,0.047,0.049,4,5
44,,,,,,0.049,0.043,0.047,0.049,27,4
10,,,,,,0.049,0.043,0.047,0.049,53,18
100,,,,,,0.049,0.043,0.047,0.049,14,5
10,,,,,,0.047,0.049,0.041,0.041,33,17
24,,,,,,0.047,0.049,0.041,0.041,5,10
24,,,,,,0.047,0.049,0.041,0.041,20,22
48,,,,,,0.047,0.049,0.041,0.041,10,22
40,,,,,,0.047,0.049,0.041,0.041,7,9
42,,,,,,0.041,0.047,0.043,0.047,23,5
1,,,,,,0.041,0.047,0.043,0.047,1,7
18,,,,,,0.041,0.047,0.043,0.047,20,28
14,,,,,,0.041,0.047,0.043,0.047,39,20
4,,,,,,0.041,0.047,0.043,0.047,18,10
608,,,,,,,,,,371,274
