0h test,practice1,practice2,practice3,practice4,reactivation,practice5,practice6,practice7,practice8,6h test,24h test
238,-1.7618,-1.8497,-1.7548,-1.6864,-2.2019,-2.0557,-1.6645,-1.4983,-1.2044,188,203
215,-2.2816,-2.1438,-2.4071,-1.4607,-2.5022,-1.7605,-2.4374,-2.1179,-1.3152,202,182
85,-1.6633,-1.4889,-1.6065,-2.0338,-2.4267,-2.1301,-1.7558,-1.9409,-1.6265,234,185
150,-1.9621,-2.2479,-2.203,-1.1836,-1.3115,-2.3298,-1.2933,-1.999,-1.7424,206,227
237,-2.0524,-1.9139,-1.6933,-2.5228,-1.9547,-2.411,-2.1565,-1.7925,-1.83,240,180
162,-1.1031,-2.3724,-1.8389,-2.0831,-2.2667,-1.0491,-1.9426,-2.0861,-1.9307,160,180
180,-2.4974,-2.129,-1.5072,-2.791,-2.2742,-1.6454,-1.4063,-1.5824,-2.2279,203,205
192,-1.7926,-2.4185,-1.8285,-2.0956,-1.7889,-2.0111,-2.2563,-1.8184,-1.9039,167,244
167,-1.6589,-2.1367,-2.0565,-2.5396,-2.3984,-2.1105,-1.8082,-2.1118,-2.3671,197,222
170,-1.73,-1.772,-1.2106,-1.403,-2.1748,-2.4396,-2.0861,-1.8833,-1.932,193,190
201,-2.2542,-1.9903,-2.1443,-2.0584,,-2.2183,-2.3258,-1.8728,-2.1963,215,206
280,-1.9269,-1.8373,-2.055,-1.9924,,-2.506,-1.4801,-2.3147,-1.9712,180,216
140,-2.5047,-2.2415,-2.1996,-2.2274,,-2.4178,-2.2798,-1.2707,-2.4377,210,183
190,-2.16,-2.6543,-1.4307,-2.3198,,-2.5046,-2.1694,-2.5458,-2.0541,152,203
197,-2.3093,-2.5508,-1.9885,-2.0734,,-2.112,-1.8606,-2.0915,-1.7063,213,183
208,-1.7107,-2.409,-2.0008,-2.5671,,-1.9077,-1.4674,-0.7009,-2.4706,196,193
188,-1.9768,-2.1762,-2.0552,-2.2543,,-2.1631,-1.7311,-2.2631,-2.3023,167,227
214,-2.0973,-2.1378,-1.8174,-1.3288,,-1.879,-1.9139,-1.8256,-2.1293,197,193
213,-2.7176,-1.3311,-2.5063,-2.4477,,-2.5793,-1.5588,-1.6159,-2.0691,228,252
215,-2.269,-2.6064,-1.481,-2.1912,,-2.5801,-2.2186,-2.0609,-2.4182,183,215
,,,,,,,,,,,
38,,,,,,0.041,0.041,0.047,0.047,12,3
15,,,,,,0.041,0.041,0.047,0.047,2,18
115,,,,,,0.041,0.041,0.047,0.047,34,15
50,,,,,,0.041,0.041,0.047,0.047,6,27
37,,,,,,0.041,0.041,0.047,0.047,40,20
38,,,,,,0.049,0.047,0.043,0.041,40,20
20,,,,,,0.049,0.047,0.043,0.041,3,5
8,,,,,,0.049,0.047,0.043,0.041,33,44
33,,,,,,0.049,0.047,0.043,0.041,3,22
30,,,,,,0.049,0.047,0.043,0.041,7,10
1,,,,,,0.043,0.043,0.041,0.049,15,6
80,,,,,,0.043,0.043,0.041,0.049,20,16
60,,,,,,0.043,0.043,0.041,0.049,10,17
10,,,,,,0.043,0.043,0.041,0.049,48,3
3,,,,,,0.043,0.043,0.041,0.049,13,17
8,,,,,,0.047,0.049,0.049,0.043,4,7
12,,,,,,0.047,0.049,0.049,0.043,33,27
14,,,,,,0.047,0.049,0.049,0.043,3,7
13,,,,,,0.047,0.049,0.049,0.043,28,52
15,,,,,,0.047,0.049,0.049,0.043,17,15
600,,,,,,,,,,371,351
12/23,13:30,,,,,,,,17:30,,
