0h test,practice1,practice2,practice3,practice4,practice5,practice6,practice7,practice8,6h test,24h test
4,-1.2511,-1.2103,-2.5876,-1.5385,-1.4537,0.0173,-1.4243,-1.9071,-2,-1
-4,-1.6238,-1.4095,-1.6735,-1.7274,-1.7727,-1.1396,-1.4224,-1.8214,-1,-3
-3,-1.3416,-1.2082,-1.1798,-1.5295,-1.7809,0.1283,-1.9941,-1.8771,-1,-2
-3,-1.9272,-2.408,-1.4559,-1.6378,-1.8585,-1.4601,-1.9123,-1.6538,-1,0
0,-1.6932,-2.6033,-2.5227,-2.1264,-1.852,-2.0365,-1.4782,-1.8265,0,0
-3,-1.5474,-2.5085,-2.4299,-2.0247,-1.9439,-2.1271,-1.5929,-1.472,-3,0
-3,-1.1674,-2.4043,-2.1962,-2.2253,-1.523,-1.9486,-1.5545,-1.6113,-4,-1
-3,-1.3755,-2.3019,-1.4987,-1.7484,-1.6772,-2.2535,-1.9524,-1.4742,-4,0
0,-2.7279,-1.8502,-2.0607,-1.9327,-1.4008,-1.9582,-1.8623,-1.7798,3,0
-1,-2.7701,-1.5896,-2.0277,-2.2882,-1.9236,-1.7169,-2.2951,-1.5784,3,1
1,-2.6859,-2.4397,-2.2204,-1.8967,-1.845,-2.3627,-2.0014,-1.5477,1,-1
0,-1.9127,-2.6377,-1.456,-1.9133,-1.9799,-1.7934,-1.7865,-2.3351,-3,-2
-1,-2.0691,-2.1456,-1.466,-2.1411,-1.8458,-1.9581,-1.8882,-2.3575,-1,0
-1,-2.206,-2.2003,-1.8918,-1.7402,-2.297,-1.736,-1.8238,-2.5054,0,0
0,-2.1589,-2.1185,-1.7013,-2.3069,-1.9203,-1.861,-1.4676,-2.0687,0,-1
0,-2.1532,-2.5803,-1.4333,-1.9904,-1.3709,-2.1329,-2.3305,-1.7286,0,1
0,-1.896,-1.6302,-1.3815,-1.8603,-1.4468,-1.7536,-2.3055,-1.5706,0,2
-3,-2.3248,-1.673,-1.5139,-2.0155,-1.4629,-2.5056,-2.393,-1.799,1,0
4,-1.8118,-2.0369,-1.7213,-2.0961,-1.918,-2.3496,-1.9422,-1.6411,-1,0
-3,-1.1685,-1.1314,-1.2455,-1.9231,-1.8637,-1.622,-1.6027,-1.3446,-3,0
